"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 17:25:01 GMT 2024","Thu Nov 07 17:25:02 GMT 2024","718","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 1st order named ""Unfreeze Frozen Morty“ with open Status",""
"passed","Thu Nov 07 17:24:59 GMT 2024","Thu Nov 07 17:25:00 GMT 2024","512","MaintainX QA-Take-Home Project home page","left navigator section","","","","should have the second anchor element named ""View Work-Orders“",""
"passed","Thu Nov 07 17:25:32 GMT 2024","Thu Nov 07 17:25:32 GMT 2024","599","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a detail id",""
"passed","Thu Nov 07 17:25:03 GMT 2024","Thu Nov 07 17:25:04 GMT 2024","678","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 4th order named ""Hammer nails“ with open Status",""
"passed","Thu Nov 07 17:25:32 GMT 2024","Thu Nov 07 17:25:33 GMT 2024","595","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a detail name",""
"passed","Thu Nov 07 17:24:58 GMT 2024","Thu Nov 07 17:24:59 GMT 2024","526","MaintainX QA-Take-Home Project home page","left navigator section","","","","should include two list items",""
"passed","Thu Nov 07 17:24:56 GMT 2024","Thu Nov 07 17:24:57 GMT 2024","976","MaintainX QA-Take-Home Project home page","","","","","should have a grid",""
"passed","Thu Nov 07 17:25:40 GMT 2024","Thu Nov 07 17:25:41 GMT 2024","558","when create a new work order","when click ""Create Work Order""","the form","","","should include form rows Name and Assignees and a create button",""
"passed","Thu Nov 07 17:25:39 GMT 2024","Thu Nov 07 17:25:40 GMT 2024","562","when create a new work order","when click ""Create Work Order""","the title","","","should be ""New Work Orders""",""
"passed","Thu Nov 07 17:25:03 GMT 2024","Thu Nov 07 17:25:03 GMT 2024","668","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 3rd order named ""Walk Dog Morty around the block“ with open Status",""
"passed","Thu Nov 07 17:25:41 GMT 2024","Thu Nov 07 17:25:42 GMT 2024","1314","when create a new work order","when click ""Create Work Order""","when fill the form > when enter a name and select two various assignees and click Create button","","","should make work orders table visible and the length of it should be 7",""
"passed","Thu Nov 07 17:25:38 GMT 2024","Thu Nov 07 17:25:39 GMT 2024","831","when create a new work order","when click ""Create Work Order""","","","","should display a title and a form",""
"passed","Thu Nov 07 17:25:33 GMT 2024","Thu Nov 07 17:25:33 GMT 2024","603","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Status",""
"passed","Thu Nov 07 17:25:00 GMT 2024","Thu Nov 07 17:25:01 GMT 2024","778","MaintainX QA-Take-Home Project home page","right articles section","","","","should include 6 table rows",""
"passed","Thu Nov 07 17:25:30 GMT 2024","Thu Nov 07 17:25:31 GMT 2024","592","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name","","","should make a details section visible",""
"passed","Thu Nov 07 17:25:02 GMT 2024","Thu Nov 07 17:25:03 GMT 2024","692","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 2nd order named ""Clean Cat Morty's litterbox“ with open Status",""
"passed","Thu Nov 07 17:25:29 GMT 2024","Thu Nov 07 17:25:30 GMT 2024","834","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page","","","should exist and the status should be Open",""
"passed","Thu Nov 07 17:25:34 GMT 2024","Thu Nov 07 17:25:35 GMT 2024","687","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a button with ”Close the work order""",""
"passed","Thu Nov 07 17:24:57 GMT 2024","Thu Nov 07 17:24:58 GMT 2024","554","MaintainX QA-Take-Home Project home page","left navigator section","","","","should be visible",""
"passed","Thu Nov 07 17:25:35 GMT 2024","Thu Nov 07 17:25:36 GMT 2024","673","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > when click on the status switch button","","","should update the status of work order",""
"passed","Thu Nov 07 17:25:33 GMT 2024","Thu Nov 07 17:25:34 GMT 2024","579","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Assignees",""
"passed","Thu Nov 07 17:25:00 GMT 2024","Thu Nov 07 17:25:00 GMT 2024","612","MaintainX QA-Take-Home Project home page","right articles section","","","","should be visible",""
"passed","Thu Nov 07 17:25:15 GMT 2024","Thu Nov 07 17:25:17 GMT 2024","1873","","","","","","should be able to add a todo",""
"passed","Thu Nov 07 17:25:05 GMT 2024","Thu Nov 07 17:25:05 GMT 2024","662","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 6th order named ""Freeze Morty“ with DONE Status",""
"passed","Thu Nov 07 17:25:04 GMT 2024","Thu Nov 07 17:25:05 GMT 2024","632","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 5th order named ""Land on Earth“ with DONE Status",""
"passed","Thu Nov 07 17:25:26 GMT 2024","Thu Nov 07 17:25:27 GMT 2024","934","Multiple screen size tests","default size","","","","should be able to add a todo in default size",""
"passed","Thu Nov 07 17:25:36 GMT 2024","Thu Nov 07 17:25:36 GMT 2024","779","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > when click on the status switch button > then when click on the return button","","","should return back to the view work orders page and the status of 2nd work order should be DONE",""
"passed","Thu Nov 07 17:25:27 GMT 2024","Thu Nov 07 17:25:27 GMT 2024","718","Multiple screen size tests","iphone 14 pro max size","","","","should be able to add a todo in mobile size",""
"passed","Thu Nov 07 17:24:59 GMT 2024","Thu Nov 07 17:24:59 GMT 2024","551","MaintainX QA-Take-Home Project home page","left navigator section","","","","should have the first anchor element named ""Create Work Order“",""
"passed","Thu Nov 07 17:25:31 GMT 2024","Thu Nov 07 17:25:31 GMT 2024","610","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Retourner button",""
