"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 19:34:17 GMT 2024","Thu Nov 07 19:34:18 GMT 2024","618","MaintainX QA-Take-Home Project home page","left navigator section","","","","should be visible",""
"passed","Thu Nov 07 19:34:45 GMT 2024","Thu Nov 07 19:34:46 GMT 2024","648","Multiple screen size tests","iphone 14 pro max size","","","","should be able to add a todo in mobile size",""
"passed","Thu Nov 07 19:34:59 GMT 2024","Thu Nov 07 19:35:00 GMT 2024","1306","when create a new work order","when click ""Create Work Order""","when fill the form > when enter a name and select two various assignees and click Create button","","","should make work orders table visible and the length of it should be 7",""
"passed","Thu Nov 07 19:34:51 GMT 2024","Thu Nov 07 19:34:52 GMT 2024","571","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Status",""
"passed","Thu Nov 07 19:34:24 GMT 2024","Thu Nov 07 19:34:25 GMT 2024","660","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 5th order named ""Land on Earth“ with DONE Status",""
"passed","Thu Nov 07 19:34:50 GMT 2024","Thu Nov 07 19:34:51 GMT 2024","542","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a detail id",""
"passed","Thu Nov 07 19:34:49 GMT 2024","Thu Nov 07 19:34:49 GMT 2024","602","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name","","","should make a details section visible",""
"passed","Thu Nov 07 19:34:22 GMT 2024","Thu Nov 07 19:34:23 GMT 2024","582","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 2nd order named ""Clean Cat Morty's litterbox“ with open Status",""
"passed","Thu Nov 07 19:34:16 GMT 2024","Thu Nov 07 19:34:17 GMT 2024","1142","MaintainX QA-Take-Home Project home page","","","","","should have a grid",""
"passed","Thu Nov 07 19:34:58 GMT 2024","Thu Nov 07 19:34:59 GMT 2024","543","when create a new work order","when click ""Create Work Order""","the form","","","should include form rows Name and Assignees and a create button",""
"passed","Thu Nov 07 19:34:23 GMT 2024","Thu Nov 07 19:34:24 GMT 2024","620","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 4th order named ""Hammer nails“ with open Status",""
"passed","Thu Nov 07 19:34:54 GMT 2024","Thu Nov 07 19:34:55 GMT 2024","737","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > when click on the status switch button > then when click on the return button","","","should return back to the view work orders page and the status of 2nd work order should be DONE",""
"passed","Thu Nov 07 19:34:52 GMT 2024","Thu Nov 07 19:34:53 GMT 2024","557","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a button with ”Close the work order""",""
