"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 14:46:05 GMT 2024","Sun Jun 09 14:46:06 GMT 2024","596","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 1st order named ""Unfreeze Frozen Morty“ with open Status",""
"passed","Sun Jun 09 14:46:41 GMT 2024","Sun Jun 09 14:46:42 GMT 2024","624","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > when click on the status switch button","","","should update the status of work order",""
"passed","Sun Jun 09 14:46:19 GMT 2024","Sun Jun 09 14:46:22 GMT 2024","2909","","","","","","should be able to add a todo",""
"passed","Sun Jun 09 14:46:06 GMT 2024","Sun Jun 09 14:46:06 GMT 2024","603","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 2nd order named ""Clean Cat Morty's litterbox“ with open Status",""
"passed","Sun Jun 09 14:46:42 GMT 2024","Sun Jun 09 14:46:43 GMT 2024","815","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > when click on the status switch button > then when click on the return button","","","should return back to the view work orders page and the status of 2nd work order should be DONE",""
"passed","Sun Jun 09 14:46:37 GMT 2024","Sun Jun 09 14:46:37 GMT 2024","619","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name","","","should make a details section visible",""
"passed","Sun Jun 09 14:46:06 GMT 2024","Sun Jun 09 14:46:07 GMT 2024","612","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 3rd order named ""Walk Dog Morty around the block“ with open Status",""
"passed","Sun Jun 09 14:46:38 GMT 2024","Sun Jun 09 14:46:39 GMT 2024","560","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a detail id",""
"passed","Sun Jun 09 14:46:44 GMT 2024","Sun Jun 09 14:46:44 GMT 2024","729","when create a new work order","when click ""Create Work Order""","","","","should display a title and a form",""
"passed","Sun Jun 09 14:46:40 GMT 2024","Sun Jun 09 14:46:40 GMT 2024","554","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Assignees",""
"passed","Sun Jun 09 14:46:01 GMT 2024","Sun Jun 09 14:46:01 GMT 2024","778","MaintainX QA-Take-Home Project home page","","","","","should have a grid",""
"passed","Sun Jun 09 14:46:38 GMT 2024","Sun Jun 09 14:46:38 GMT 2024","556","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Retourner button",""
