"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 15:13:18 GMT 2024","Sun Jun 09 15:13:20 GMT 2024","1038","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > when click on the status switch button > then when click on the return button","","","should return back to the view work orders page and the status of 2nd work order should be DONE",""
"passed","Sun Jun 09 15:13:22 GMT 2024","Sun Jun 09 15:13:24 GMT 2024","1254","when create a new work order","when click ""Create Work Order""","when fill the form > when enter a name and select two various assignees and click Create button","","","should make work orders table visible and the length of it should be 7",""
"passed","Sun Jun 09 15:12:42 GMT 2024","Sun Jun 09 15:12:42 GMT 2024","642","MaintainX QA-Take-Home Project home page","left navigator section","","","","should have the second anchor element named ""View Work-Orders“",""
"passed","Sun Jun 09 15:12:41 GMT 2024","Sun Jun 09 15:12:42 GMT 2024","615","MaintainX QA-Take-Home Project home page","left navigator section","","","","should have the first anchor element named ""Create Work Order“",""
"passed","Sun Jun 09 15:13:20 GMT 2024","Sun Jun 09 15:13:21 GMT 2024","758","when create a new work order","when click ""Create Work Order""","","","","should display a title and a form",""
"passed","Sun Jun 09 15:13:17 GMT 2024","Sun Jun 09 15:13:18 GMT 2024","637","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a button with ”Close the work order""",""
"passed","Sun Jun 09 15:13:13 GMT 2024","Sun Jun 09 15:13:14 GMT 2024","577","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name","","","should make a details section visible",""
"passed","Sun Jun 09 15:12:46 GMT 2024","Sun Jun 09 15:12:46 GMT 2024","641","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 4th order named ""Hammer nails“ with open Status",""
"passed","Sun Jun 09 15:13:09 GMT 2024","Sun Jun 09 15:13:10 GMT 2024","1015","Multiple screen size tests","default size","","","","should be able to add a todo in default size",""
"passed","Sun Jun 09 15:13:14 GMT 2024","Sun Jun 09 15:13:15 GMT 2024","588","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Retourner button",""
"passed","Sun Jun 09 15:13:16 GMT 2024","Sun Jun 09 15:13:16 GMT 2024","615","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Status",""
"passed","Sun Jun 09 15:13:15 GMT 2024","Sun Jun 09 15:13:16 GMT 2024","554","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a detail name",""
"passed","Sun Jun 09 15:12:40 GMT 2024","Sun Jun 09 15:12:41 GMT 2024","694","MaintainX QA-Take-Home Project home page","left navigator section","","","","should include two list items",""
"passed","Sun Jun 09 15:12:58 GMT 2024","Sun Jun 09 15:13:00 GMT 2024","2047","","","","","","should be able to add a todo",""
"passed","Sun Jun 09 15:12:39 GMT 2024","Sun Jun 09 15:12:40 GMT 2024","946","MaintainX QA-Take-Home Project home page","","","","","should have a grid",""
"passed","Sun Jun 09 15:13:16 GMT 2024","Sun Jun 09 15:13:17 GMT 2024","594","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a Assignees",""
"passed","Sun Jun 09 15:13:10 GMT 2024","Sun Jun 09 15:13:11 GMT 2024","669","Multiple screen size tests","iphone 14 pro max size","","","","should be able to add a todo in mobile size",""
"passed","Sun Jun 09 15:12:40 GMT 2024","Sun Jun 09 15:12:40 GMT 2024","606","MaintainX QA-Take-Home Project home page","left navigator section","","","","should be visible",""
"passed","Sun Jun 09 15:13:18 GMT 2024","Sun Jun 09 15:13:18 GMT 2024","671","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > when click on the status switch button","","","should update the status of work order",""
"passed","Sun Jun 09 15:13:22 GMT 2024","Sun Jun 09 15:13:22 GMT 2024","524","when create a new work order","when click ""Create Work Order""","the form","","","should include form rows Name and Assignees and a create button",""
"passed","Sun Jun 09 15:12:45 GMT 2024","Sun Jun 09 15:12:46 GMT 2024","618","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 3rd order named ""Walk Dog Morty around the block“ with open Status",""
"passed","Sun Jun 09 15:13:15 GMT 2024","Sun Jun 09 15:13:15 GMT 2024","560","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page > when click on the 2nd work order name > in detail section","","","should contain a detail id",""
"passed","Sun Jun 09 15:12:43 GMT 2024","Sun Jun 09 15:12:44 GMT 2024","597","MaintainX QA-Take-Home Project home page","right articles section","","","","should include 6 table rows",""
"passed","Sun Jun 09 15:12:42 GMT 2024","Sun Jun 09 15:12:43 GMT 2024","584","MaintainX QA-Take-Home Project home page","right articles section","","","","should be visible",""
"passed","Sun Jun 09 15:12:44 GMT 2024","Sun Jun 09 15:12:45 GMT 2024","621","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 2nd order named ""Clean Cat Morty's litterbox“ with open Status",""
"passed","Sun Jun 09 15:12:46 GMT 2024","Sun Jun 09 15:12:47 GMT 2024","609","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 5th order named ""Land on Earth“ with DONE Status",""
"passed","Sun Jun 09 15:13:12 GMT 2024","Sun Jun 09 15:13:13 GMT 2024","821","when check the work order in details","when select a work order with Open status","when select the 2nd work order from home page","","","should exist and the status should be Open",""
"passed","Sun Jun 09 15:12:44 GMT 2024","Sun Jun 09 15:12:44 GMT 2024","625","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 1st order named ""Unfreeze Frozen Morty“ with open Status",""
"passed","Sun Jun 09 15:13:21 GMT 2024","Sun Jun 09 15:13:22 GMT 2024","571","when create a new work order","when click ""Create Work Order""","the title","","","should be ""New Work Orders""",""
"passed","Sun Jun 09 15:12:47 GMT 2024","Sun Jun 09 15:12:48 GMT 2024","728","MaintainX QA-Take-Home Project home page","right articles section","","","","should have the 6th order named ""Freeze Morty“ with DONE Status",""
